지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),전운량(10분위)
296,북부산,2025-06-27 14:00,30.2,,4,200,57,7
296,북부산,2025-06-27 15:00,30.8,,3.3,180,59,6
296,북부산,2025-06-27 16:00,30.6,,3.6,180,58,5
296,북부산,2025-06-27 17:00,30.8,,3.3,180,57,4
296,북부산,2025-06-27 18:00,29.3,,2.5,160,61,2
296,북부산,2025-06-27 19:00,27.7,,2.6,160,64,3
296,북부산,2025-06-27 20:00,26.4,,1.1,180,69,3
296,북부산,2025-06-27 21:00,25.5,,1.2,180,71,3
296,북부산,2025-06-27 22:00,25.1,,1.3,180,75,0
296,북부산,2025-06-27 23:00,24.7,,.6,180,81,0
296,북부산,2025-06-28 00:00,23.9,,.6,340,82,0
